TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,79,37,42,0.468,3812.0,3416,7262,0.47,1059,2971,0.356,1426,1833,0.778,940,2561,3501,2330,1227.0,770,411,390,1515,1512,9317,-143.0,21,18,17,18,24,9,6,14,15,16,20,5,6,19,9,24,16,2,24,2,12,15,17,8,6,19
1610612738,Boston Celtics,80,59,21,0.738,3870.0,3329,7197,0.463,1420,3859,0.368,1233,1540,0.801,908,2707,3615,2087,950.0,568,438,287,1278,1408,9311,704.0,1,3,3,3,4,14,10,19,1,1,11,30,30,5,10,7,7,15,2,29,5,1,2,27,7,3
1610612751,Brooklyn Nets,79,26,53,0.329,3812.0,2979,6806,0.438,1067,3104,0.344,1289,1632,0.79,863,2400,3263,1987,1196.0,620,347,448,1624,1491,8314,-525.0,21,25,25,25,24,30,30,29,13,9,25,25,25,10,18,29,29,25,23,21,26,27,27,16,30,26
1610612766,Charlotte Hornets,80,19,61,0.238,3855.0,3074,7130,0.431,1039,3064,0.339,1251,1593,0.785,973,2634,3607,1946,1237.0,590,360,421,1505,1463,8438,-704.0,1,28,28,28,12,28,15,30,18,11,28,29,28,14,6,15,9,26,26,26,21,23,16,22,28,28
1610612741,Chicago Bulls,80,37,43,0.463,3855.0,3453,7349,0.47,1240,3366,0.368,1273,1575,0.808,797,2850,3647,2322,1177.0,603,375,406,1414,1343,9419,-178.0,1,18,19,19,12,5,4,15,3,3,10,27,29,3,25,1,5,4,20,25,18,18,6,30,5,20
1610612739,Cleveland Cavaliers,79,63,16,0.797,3797.0,3527,7154,0.493,1257,3273,0.384,1350,1728,0.781,875,2684,3559,2236,1034.0,651,336,338,1431,1499,9661,786.0,21,2,2,2,29,4,14,2,2,4,1,16,16,15,17,9,12,9,3,13,28,5,9,11,1,2
1610612742,Dallas Mavericks,80,38,42,0.475,3850.0,3356,7018,0.478,1000,2739,0.365,1431,1855,0.771,806,2630,3436,2016,1113.0,622,432,364,1433,1502,9143,-85.0,1,17,17,17,14,12,21,10,25,25,14,4,2,23,24,18,21,22,13,20,6,12,10,10,12,18
1610612743,Denver Nuggets,80,48,32,0.6,3875.0,3635,7181,0.506,969,2566,0.378,1420,1847,0.769,897,2755,3652,2482,1147.0,640,394,411,1414,1514,9659,296.0,1,7,8,8,3,1,13,1,27,30,4,6,5,24,12,3,3,1,18,16,14,19,6,7,2,9
1610612765,Detroit Pistons,79,43,36,0.544,3812.0,3359,7081,0.474,1003,2781,0.361,1383,1776,0.779,900,2651,3551,2080,1179.0,637,413,392,1634,1498,9104,160.0,21,14,14,14,24,11,17,13,23,24,17,10,12,18,11,13,13,17,21,18,10,16,28,12,15,13
1610612744,Golden State Warriors,80,47,33,0.588,3845.0,3266,7250,0.45,1235,3398,0.363,1342,1760,0.763,1019,2632,3651,2329,1121.0,745,378,433,1532,1482,9109,259.0,1,10,11,11,19,20,7,26,4,2,16,18,13,26,4,17,4,3,14,4,17,24,23,19,14,10
